"censuscode","dt_cen_cd","st_cdn_cd","st_nm","district"
324,25,,"Assam","Baksa"
425,8,,"Madhya Pradesh","Chhatarpur"
455,38,,"Madhya Pradesh","Chhindwara"
570,16,,"Karnataka","Chikmagalur"
171,40,,"Uttar Pradesh","Chitrakoot"
126,28,,"Rajasthan","Chittaurgarh"
554,23,,"Andhra Pradesh","Chittoor"
416,17,,"Chhattisgarh","Dakshin Bastar Dantewada"
331,5,,"West Bengal","Dakshin Dinajpur"
575,21,,"Karnataka","Dakshina Kannada"
428,11,,"Madhya Pradesh","Damoh"
215,13,,"Bihar","Darbhanga"
327,1,,"West Bengal","Darjiling"
0,99,,"Jammu & Kashmir","Data Not Available"
567,13,,"Karnataka","Davanagere"
438,21,,"Madhya Pradesh","Dhar"
545,14,,"Andhra Pradesh","East Godavari"
466,49,,"Madhya Pradesh","East Nimar"
610,9,,"Tamil Nadu","Erode"
201,70,,"Uttar Pradesh","Etah"
43,9,,"Punjab","Firozpur"
561,7,,"Karnataka","Gadag"
99,1,,"Rajasthan","Ganganagar"
388,19,,"Odisha","Ganjam"
508,12,,"Maharashtra","Garhchiroli"
236,34,,"Bihar","Gaya"
195,64,,"Uttar Pradesh","Ghazipur"
349,4,,"Jharkhand","Giridih"
313,14,,"Assam","Golaghat"
183,52,,"Uttar Pradesh","Gonda"
507,11,,"Maharashtra","Gondiya"
188,57,,"Uttar Pradesh","Gorakhpur"
579,25,,"Karnataka","Gulbarga"
366,21,,"Jharkhand","Gumla"
458,41,,"Madhya Pradesh","Guna"
548,17,,"Andhra Pradesh","Guntur"
35,1,,"Punjab","Gurdaspur"
25,3,,"Himachal Pradesh","Lahul & Spiti"
359,14,,"Jharkhand","Latehar"
524,28,,"Maharashtra","Latur"
3,3,,"Jammu & Kashmir","Leh (ladakh)"
157,26,,"Uttar Pradesh","Lucknow"
286,6,,"Mizoram","Lunglei"
411,12,,"Chhattisgarh","Mahasamund"
538,7,,"Andhra Pradesh","Mahbubnagar"
471,4,,"Gujarat","Mahesana"
169,38,,"Uttar Pradesh","Mahoba"
332,6,,"West Bengal","Maldah"
454,37,,"Madhya Pradesh","Mandla"
433,16,,"Madhya Pradesh","Mandsaur"
573,19,,"Karnataka","Mandya"
358,13,,"Jharkhand","Palamu"
118,20,,"Rajasthan","Pali"
484,17,,"Gujarat","Panch Mahals"
48,14,,"Punjab","Patiala"
230,28,,"Bihar","Patna"
151,20,,"Uttar Pradesh","Pilibhit"
62,7,,"Uttarakhand","Pithoragarh"
478,11,,"Gujarat","Porbandar"
549,18,,"Andhra Pradesh","Prakasam"
621,20,,"Tamil Nadu","Pudukkottai"
521,25,,"Maharashtra","Pune"
387,18,,"Odisha","Puri"
33,11,,"Himachal Pradesh","Shimla"
568,14,,"Karnataka","Shimoga"
423,6,,"Madhya Pradesh","Shivpuri"
184,53,,"Uttar Pradesh","Siddharth Nagar"
529,33,,"Maharashtra","Sindhudurg"
463,46,,"Madhya Pradesh","Singrauli"
206,4,,"Bihar","Sitamarhi"
154,23,,"Uttar Pradesh","Sitapur"
622,21,,"Tamil Nadu","Sivaganga"
10,10,,"Jammu & Kashmir","Srinagar"
179,48,,"Uttar Pradesh","Sultanpur"
374,5,,"Odisha","Sundargarh"
492,25,,"Gujarat","Surat"
475,8,,"Gujarat","Surendranagar"
59,4,,"Uttarakhand","Tehri Garhwal"
517,21,,"Maharashtra","Thane"
620,19,,"Tamil Nadu","Thanjavur"
602,1,,"Tamil Nadu","Thiruvallur"
619,18,,"Tamil Nadu","Thiruvarur"
627,26,,"Tamil Nadu","Thoothukkudi"
594,7,,"Kerala","Thrissur"
424,7,,"Madhya Pradesh","Tikamgarh"
614,13,,"Tamil Nadu","Tiruchirappalli"
628,27,,"Tamil Nadu","Tirunelveli"
633,32,,"Tamil Nadu","Tiruppur"
