block,censuscode,district,dt_cen_cd,st_cen_cd,st_nm,bl_cen_cd
Sidhaw,203,West Champaran,1,10,Bihar,1
Ramnagar,203,West Champaran,1,10,Bihar,2
Gaunaha,203,West Champaran,1,10,Bihar,3
Mainatanr,203,West Champaran,1,10,Bihar,4
Narkatiaganj,203,West Champaran,1,10,Bihar,5
Lauriya,203,West Champaran,1,10,Bihar,6
Bagaha,203,West Champaran,1,10,Bihar,7
Piprasi,203,West Champaran,1,10,Bihar,8
Madhubani,203,West Champaran,1,10,Bihar,9
Bhitaha,203,West Champaran,1,10,Bihar,10
Thakrahan,203,West Champaran,1,10,Bihar,11
Jogapatti,203,West Champaran,1,10,Bihar,12
Chanpatia,203,West Champaran,1,10,Bihar,13
Sikta,203,West Champaran,1,10,Bihar,14
Majhaulia,203,West Champaran,1,10,Bihar,15
Bettiah,203,West Champaran,1,10,Bihar,16
Bairia,203,West Champaran,1,10,Bihar,17
Nautan,203,West Champaran,1,10,Bihar,18
Raxaul,204,East Champaran,2,10,Bihar,19
Adapur,204,East Champaran,2,10,Bihar,20
Ramgarhwa,204,East Champaran,2,10,Bihar,21
Sugauli,204,East Champaran,2,10,Bihar,22
Banjaria,204,East Champaran,2,10,Bihar,23
Narkatia,204,East Champaran,2,10,Bihar,24
Bankatwa,204,East Champaran,2,10,Bihar,25
Ghorasahan,204,East Champaran,2,10,Bihar,26
Dhaka,204,East Champaran,2,10,Bihar,27
Chiraia,204,East Champaran,2,10,Bihar,28
Motihari,204,East Champaran,2,10,Bihar,29
Turkaulia,204,East Champaran,2,10,Bihar,30
Harsidhi,204,East Champaran,2,10,Bihar,31
Paharpur,204,East Champaran,2,10,Bihar,32
Areraj,204,East Champaran,2,10,Bihar,33
Sangrampur,204,East Champaran,2,10,Bihar,34
Kesaria,204,East Champaran,2,10,Bihar,35
Kalyanpur,204,East Champaran,2,10,Bihar,36
Kotwa,204,East Champaran,2,10,Bihar,37
Piprakothi,204,East Champaran,2,10,Bihar,38
Chakia(Pipra),204,East Champaran,2,10,Bihar,39
Pakri Dayal,204,East Champaran,2,10,Bihar,40
Patahi,204,East Champaran,2,10,Bihar,41
Phenhara,204,East Champaran,2,10,Bihar,42
Madhuban,204,East Champaran,2,10,Bihar,43
Tetaria,204,East Champaran,2,10,Bihar,44
Mehsi,204,East Champaran,2,10,Bihar,45
Purnahiya,205,Sheohar,3,10,Bihar,46
Piprarhi,205,Sheohar,3,10,Bihar,47
Sheohar,205,Sheohar,3,10,Bihar,48
Dumri Katsari,205,Sheohar,3,10,Bihar,49
Tariani Chowk,205,Sheohar,3,10,Bihar,50
Bairgania,206,Sitamarhi,4,10,Bihar,51
Suppi,206,Sitamarhi,4,10,Bihar,52
Majorganj,206,Sitamarhi,4,10,Bihar,53
Sonbarsa,206,Sitamarhi,4,10,Bihar,54
Parihar,206,Sitamarhi,4,10,Bihar,55
Sursand,206,Sitamarhi,4,10,Bihar,56
Bathnaha,206,Sitamarhi,4,10,Bihar,57
Riga,206,Sitamarhi,4,10,Bihar,58
Parsauni,206,Sitamarhi,4,10,Bihar,59
Belsand,206,Sitamarhi,4,10,Bihar,60
Runisaidpur,206,Sitamarhi,4,10,Bihar,61
Dumra,206,Sitamarhi,4,10,Bihar,62
Bajpatti,206,Sitamarhi,4,10,Bihar,63
Charaut,206,Sitamarhi,4,10,Bihar,64
Pupri,206,Sitamarhi,4,10,Bihar,65
Nanpur,206,Sitamarhi,4,10,Bimar,66
Bokhara,206,Sitamarhi,4,10,Bihar,67
Madhwapur,207,Madhubani,5,10,Bihar,68
Harlakhi,207,Madhubani,5,10,Bihar,69
Basopatti,207,Madhubani,5,10,Bihar,70
Jainagar,207,Madhubani,5,10,Bihar,71
Ladania,207,Madhubani,5,10,Bihar,72
Laukaha,207,Madhubani,5,10,Bihar,73
Laukahi,207,Madhubani,5,10,Bihar,74
Phulparas,207,Madhubani,5,10,Bihar,75
Babubarhi,207,Madhubani,5,10,Bihar,76
Khajauli,207,Madhubani,5,10,Bihar,77
Kaluahi,207,Madhubani,5,10,Bihar,78
Benipatti,207,Madhubani,5,10,Bihar,79
Bisfi,207,Madhubani,5,10,Bihar,80
Madhubani,207,Madhubani,5,10,Bihar,81
Pandaul,207,Madhubani,5,10,Bihar,82
Rajnagar,207,Madhubani,5,10,Bihar,83
Andhratharhi,207,Madhubani,5,10,Bihar,84
Jhanjharpur,207,Madhubani,5,10,Bihar,85
Ghoghardiha,207,Madhubani,5,10,Bihar,86
Lakhnaur,207,Madhubani,5,10,Bihar,87
Madhepur,207,Madhubani,5,10,Bihar,88
Nirmali,208,Supaul,6,10,Bihar,89
Basantpur,208,Supaul,6,10,Bihar,90
Chhatapur,208,Supaul,6,10,Bihar,91
Pratapganj,208,Supaul,6,10,Bihar,92
Raghopur,208,Supaul,6,10,Bihar,93
Saraigarh Bhaptiyahi,208,Supaul,6,10,Bihar,94
Kishanpur,208,Supaul,6,10,Bihar,95
Marauna,208,Supaul,6,10,Bihar,96
Supaul,208,Supaul,6,10,Bihar,97
Pipra,208,Supaul,6,10,Bihar,98
Tribeniganj,208,Supaul,6,10,Bihar,99
Narpatganj,209,Araria,7,10,Bihar,100
Forbesganj,209,Araria,7,10,Bihar,101
