district,censuscode,st_cen_cd,dt_cen_cd,st_nm
Araria,209,10,7,Bihar
Arwal,240,10,38,Bihar
Aurangabad,235,10,33,Bihar
Banka,225,10,23,Bihar
Begusarai,222,10,20,Bihar
Bhagalpur,224,10,22,Bihar
Bhojpur,231,10,29,Bihar
Buxar,232,10,30,Bihar
Darbhanga,215,10,13,Bihar
East Champaran,204,10,2,Bihar
Gaya,236,10,34,Bihar
Gopalganj,217,10,15,Bihar
Jamui,238,10,36,Bihar
Jehanabad,239,10,37,Bihar
Kaimur,233,10,31,Bihar
Katihar,212,10,10,Bihar
Khagaria,223,10,21,Bihar
Kishanganj,210,10,8,Bihar
Lakhisarai,227,10,25,Bihar
Madhepura,213,10,11,Bihar
Madhubani,207,10,5,Bihar
Munger,226,10,24,Bihar
Muzaffarpur,216,10,14,Bihar
Nalanda,229,10,27,Bihar
Nawada,237,10,35,Bihar
Patna,230,10,28,Bihar
Purnia,211,10,9,Bihar
Rohtas,234,10,32,Bihar
Saharsa,214,10,12,Bihar
Samastipur,221,10,19,Bihar
Saran,219,10,17,Bihar
Sheikhpura,228,10,26,Bihar
Sheohar,205,10,3,Bihar
Sitamarhi,206,10,4,Bihar
Siwan,218,10,16,Bihar
Supaul,208,10,6,Bihar
Vaishali,220,10,18,Bihar
West Champaran,203,10,1,Bihar
