ac_name,ac_no,dist_name,dt_code,pc_id,pc_name,pc_no,st_code,st_name
,0,KACHCHH,01,2400,,0,24,GUJARAT
Vejalpur,42,AHMADABAD,07,2406,GANDHINAGAR,6,24,GUJARAT
Jamnagar South,79,JAMNAGAR,10,2412,JAMNAGAR,12,24,GUJARAT
Manjalpur,145,VADODARA,19,2420,VADODARA,20,24,GUJARAT
Bhavnagar West,105,BHAVNAGAR,14,2415,BHAVNAGAR,15,24,GUJARAT
Vansda (ST),177,NAVSARI  *,24,2426,VALSAD (ST),26,24,GUJARAT
Rajkot South,70,RAJKOT,09,2410,RAJKOT,10,24,GUJARAT
Kankrej,15,BANAS KANTHA,02,2403,PATAN,3,24,GUJARAT
Bhuj,3,KACHCHH,01,2401,KACHCHH (SC),1,24,GUJARAT
Amraiwadi,50,AHMADABAD,7,2408,AHMEDABAD WEST(SC),8,24,GUJARAT
Kheralu,20,MAHESANA,04,2403,PATAN,3,24,GUJARAT
Visnagar,22,MAHESANA,04,2404,MAHESANA,4,24,GUJARAT
,0,KACHCHH,01,2400,,0,24,GUJARAT
Mansa,37,GANDHINAGAR,06,2404,MAHESANA,4,24,GUJARAT
Kadi (SC),24,MAHESANA,04,2404,MAHESANA,4,24,GUJARAT
Surat East,159,SURAT,22,2424,SURAT,24,24,
Lunawada,122,PANCH MAHALS,17,2418,PANCHMAHAL,18,24,GUJARAT
Gandhinagar(North),36,GANDHINAGAR,06,2406,GANDHINAGAR,6,24,GUJARAT
Vatva,43,AHMADABAD,07,2407,AHMEDABAD EAST,7,24,GUJARAT
Kapadvanj,120,KHEDA,16,2417,KHEDA,17,24,GUJARAT
Ghatlodia,41,AHMADABAD,07,2406,GANDHINAGAR,6,24,GUJARAT
Jamalpur-Khadia,52,AHMADABAD,7,2408,AHMEDABAD WEST(SC),8,24,GUJARAT
Morva Hadaf,125,PANCH MAHALS,17,2418,PANCHMAHAL,18,24,GUJARAT
Jhalod (ST),130,DOHAD  *,18,2419,DAHOD (ST),19,24,GUJARAT
Tankara,66,RAJKOT,09,2410,RAJKOT,10,24,GUJARAT
Savli,135,VADODARA,19,2420,VADODARA,20,24,GUJARAT
Anand,112,ANAND  *,15,2416,ANAND,16,24,GUJARAT
Rajkot West,69,RAJKOT,09,2410,RAJKOT,10,24,GUJARAT
Surat West,167,SURAT,22,2424,SURAT,24,24,GUJARAT
,0,AHMADABAD,07,2400,,0,24,GUJARAT
Sayajigunj,142,VADODARA,19,2420,VADODARA,20,24,GUJARAT
Padra,146,VADODARA,19,2421,CHHOTA UDAIPUR(ST),21,24,GUJARAT
Jambusar,150,BHARUCH,21,2422,BHARUCH,22,24,GUJARAT
Porbandar,83,PORBANDAR  *,11,2411,PORBANDAR,11,24,GUJARAT
Bharuch,153,BHARUCH,21,2422,BHARUCH,22,24,GUJARAT
Karanj,162,SURAT,22,2424,SURAT,24,24,GUJARAT
Ankleshwar,154,BHARUCH,21,2422,BHARUCH,22,24,GUJARAT
Somnath,90,JUNAGADH,12,2413,JUNAGADH,13,24,GUJARAT
Naroda,47,AHMADABAD,7,2407,AHMEDABAD EAST,7,24,GUJARAT
Bardoli (SC),169,SURAT,22,2423,BARDOLI (ST),23,24,GUJARAT
Tharad,8,BANAS KANTHA,02,2402,BANASKANTHA,2,24,GUJARAT
Deesa,13,BANAS KANTHA,02,2402,BANASKANTHA,2,24,GUJARAT
Varachha Road,161,SURAT,22,2424,SURAT,24,24,GUJARAT
Vav,7,BANAS KANTHA,02,2402,BANASKANTHA,2,24,GUJARAT
Majura,165,SURAT,22,2424,SURAT,24,24,GUJARAT
Unjha,21,MAHESANA,04,2404,MAHESANA,4,24,GUJARAT
Udhna,164,SURAT,22,2424,SURAT,24,24,GUJARAT
Limbayat,163,SURAT,22,2424,SURAT,24,24,GUJARAT
Dhanera,9,BANAS KANTHA,02,2402,BANASKANTHA,2,24,GUJARAT
Surat North,160,SURAT,22,2424,SURAT,24,24,GUJARAT
Danta (ST),10,BANAS KANTHA,02,2402,BANASKANTHA,2,24,GUJARAT
Deodar,14,BANAS KANTHA,02,2402,BANASKANTHA,2,24,GUJARAT
Khedbrahma(ST),29,SABAR KANTHA,05,2405,SABARKANTHA,5,24,GUJARAT
Katargam,166,SURAT,22,2424,SURAT,24,24,GUJARAT
Palanpur,12,BANAS KANTHA,02,2402,BANASKANTHA,2,24,GUJARAT
Vijapur,26,MAHESANA,04,2404,MAHESANA,4,24,GUJARAT
Vadgam (SC),11,BANAS KANTHA,02,2403,PATAN,3,24,GUJARAT
Sidhpur,19,PATAN  *,03,2403,PATAN,3,24,GUJARAT
Ellisbridge,44,AHMADABAD,7,2408,AHMEDABAD WEST(SC),8,24,GUJARAT
Radhanpur,16,PATAN  *,03,2403,PATAN,3,24,GUJARAT
Abdasa,1,KACHCHH,01,2401,KACHCHH (SC),1,24,GUJARAT
Naranpura,45,AHMADABAD,7,2406,GANDHINAGAR,6,24,GUJARAT
Patan,18,PATAN  *,03,2403,PATAN,3,24,GUJARAT
Sabarmati,55,AHMADABAD,7,2406,GANDHINAGAR,6,24,GUJARAT
Chanasma,17,PATAN  *,03,2403,PATAN,3,24,GUJARAT
,0,KACHCHH,01,2400,,0,24,GUJARAT
