DIST_NAME,PERIMETER,INDIAASSEM,INDIAASS,ST_CODE,AC_NAME,AC_TYPE,PC_NO,ac_no,Longitude,Latitude,State,PC_NAME,PC_TYPE,PC_CODE
Banas Kantha,0.207,1729,6099,S06,Dhanera,GEN,14,99,72.1349271696,24.4952152968,Gujarat,Banaskantha,GEN,S0614
Banas Kantha,0.24,1731,6095,S06,Vav,GEN,14,95,71.5800194566,24.4575694856,Gujarat,Banaskantha,GEN,S0614
Banas Kantha,0.176,1780,6100,S06,Palanpur,GEN,14,100,72.387071358,24.2763408424,Gujarat,Banaskantha,GEN,S0614
Banas Kantha,0.25,1784,6102,S06,Danta,GEN,15,102,72.7477933728,24.2442847388,Gujarat,Sabarkantha,GEN,S0615
Banas Kantha,0.213,1786,6096,S06,Deodar,GEN,14,96,71.7455491148,24.1984089075,Gujarat,Banaskantha,GEN,S0614
Sabar Kantha,0.253,1795,6103,S06,Khedbrahma,ST,15,103,73.1936145034,24.1004901243,Gujarat,Salumber,ST,S2017
Banas Kantha,0.159,1809,6098,S06,Deesa,GEN,14,98,72.0911103657,24.2503876521,Gujarat,Banaskantha,GEN,S0614
Patan,0.343,1834,6094,S06,Radhanpur,GEN,14,94,71.3964396286,23.8735402627,Gujarat,Banaskantha,GEN,S0614
Banas Kantha,0.194,1871,6097,S06,Kankrej,GEN,14,97,71.9188701458,24.0107170179,Gujarat,Banaskantha,GEN,S0614
Banas Kantha,0.141,1874,6101,S06,Vadgam,SC,15,101,72.5443722924,24.0563067662,Gujarat,Sabarkantha,GEN,S0615
Patan,0.192,1882,6090,S06,Vagdod,GEN,13,90,72.1600796958,23.9326965558,Gujarat,Patan,SC,S0613
Kachchh,0.483,1896,6003,S06,Bhuj,GEN,1,3,69.6440277015,23.5281768447,Gujarat,Kutch,GEN,S0601
Patan,0.098,1903,6089,S06,Sidhpur,GEN,13,89,72.3624416757,23.9335105575,Gujarat,Patan,SC,S0613
Mahesana,0.126,1904,6087,S06,Kheralu,GEN,13,87,72.742155456,23.9223546938,Gujarat,Patan,SC,S0613
