cartodb_id,censuscode,dt_cen_cd,st_cen_cd,st_nm,district,region
266,468,1,24,Gujarat,Kachchh,Kutch
43,469,2,24,Gujarat,Banas Kantha,North Gujarat
436,470,3,24,Gujarat,Patan,North Gujarat
356,471,4,24,Gujarat,Mahesana,North Gujarat
488,472,5,24,Gujarat,Sabar Kantha,North Gujarat
190,473,6,24,Gujarat,Gandhinagar,North Gujarat
3,474,7,24,Gujarat,Ahmadabad,Central Gujarat
556,475,8,24,Gujarat,Surendranagar,Saurashtra
467,476,9,24,Gujarat,Rajkot,Saurashtra
250,477,10,24,Gujarat,Jamnagar,Saurashtra
445,478,11,24,Gujarat,Porbandar,Saurashtra
264,479,12,24,Gujarat,Junagadh,Saurashtra
17,480,13,24,Gujarat,Amreli,Saurashtra
74,481,14,24,Gujarat,Bhavnagar,Saurashtra
19,482,15,24,Gujarat,Anand,Central Gujarat
298,483,16,24,Gujarat,Kheda,Central Gujarat
427,484,17,24,Gujarat,Panch Mahals,Central Gujarat
161,485,18,24,Gujarat,Dohad,Central Gujarat
598,486,19,24,Gujarat,Vadodara,Central Gujarat
402,487,20,24,Gujarat,Narmada,South Gujarat
73,488,21,24,Gujarat,Bharuch,Central Gujarat
564,489,22,24,Gujarat,The Dangs,Central Gujarat
405,490,23,24,Gujarat,Navsari,Central Gujarat
600,491,24,24,Gujarat,Valsad,Central Gujarat
555,492,25,24,Gujarat,Surat,Central Gujarat
637,493,26,24,Gujarat,Tapi,Central Gujarat
